##BLOCKS= 2          ,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate#1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,562,1,12,96,1,8,None
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,
,23.9,0.1528,0.2935,0.455,0.7416,1.3015,2.3295,0.1537,0.2865,0.4426,0.7373,1.2814,2.3282,,,,,,,,
,,0.4684,0.4379,0.4195,0.4195,0.4445,0.4145,0.4065,0.4113,0.4396,0.4093,0.0469,0.0468,,,,,,,,
,,0.3812,0.3904,0.3588,0.3548,0.3808,0.3735,0.4072,0.4074,0.4088,0.3661,0.0484,0.0495,,,,,,,,
,,0.4564,0.4373,0.3664,0.3591,0.3997,0.3986,0.3989,0.3959,0.415,0.41,0.0483,0.0486,,,,,,,,
,,0.4322,0.4062,0.3996,0.4001,0.4046,0.3907,0.4165,0.4062,0.3873,0.3761,0.0482,0.0484,,,,,,,,
,,0.047,0.0469,0.0474,0.0474,0.047,0.0479,0.0469,0.0484,0.0472,0.0473,0.0474,0.0472,,,,,,,,
,,0.0462,0.0474,0.0471,0.0471,0.0474,0.0477,0.047,0.0469,0.0471,0.0485,0.0469,0.0475,,,,,,,,
,,0.0474,0.047,0.0472,0.0472,0.0472,0.0467,0.0466,0.047,0.047,0.0469,0.0468,0.047,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,
Original Filename: 041921.pda   Date Last Saved: 4/19/21,,,,,,,,,,,,,,,,,,,,,
Copyright © 2002 Molecular Devices. All rights reserved.,,,,,,,,,,,,,,,,,,,,,
